time setpoint speed position
10:33:54 200.00 199.77 -146.92
10:33:54 200.00 199.42 -122.69
10:33:54 200.00 200.25 -98.85
10:33:54 200.00 199.74 -74.61
10:33:54 200.00 200.46 -50.77
10:33:54 200.00 199.89 -26.92
10:33:54 200.00 199.50 -3.08
10:33:54 200.00 199.24 20.77
10:33:54 200.00 199.07 45.00
10:33:54 200.00 200.01 69.23
10:33:54 200.00 200.64 93.08
10:33:54 200.00 200.01 116.54
10:33:54 200.00 198.52 140.39
10:33:54 200.00 198.59 164.62
10:33:54 200.00 199.69 -171.54
10:33:54 200.00 199.37 -146.92
10:33:54 200.00 201.27 -123.08
10:33:54 200.00 200.43 -98.85
10:33:54 200.00 200.92 -75.38
10:33:54 200.00 199.14 -51.15
10:33:54 200.00 200.06 -27.31
10:33:54 200.00 199.61 -3.08
10:33:54 200.00 200.38 20.77
10:33:54 200.00 199.83 44.62
10:33:54 200.00 199.46 68.08
10:33:54 200.00 198.16 91.92
10:33:54 200.00 198.34 116.15
10:33:54 200.00 199.52 140.39
10:33:54 200.00 200.32 164.62
10:33:54 200.00 200.85 -171.54
10:33:54 200.00 200.14 -147.69
10:33:54 200.00 199.67 -123.85
10:33:54 200.00 199.36 -99.61
10:33:54 200.00 200.20 -75.38
10:33:54 200.00 200.77 -51.15
10:33:54 200.00 201.15 -27.31
10:33:54 200.00 200.35 -3.46
10:33:54 200.00 199.81 20.39
10:33:54 200.00 199.45 44.62
10:33:54 200.00 200.27 68.46
10:33:54 200.00 199.76 92.69
10:33:54 200.00 200.47 116.92
10:33:54 200.00 200.95 140.77
10:33:55 200.00 200.21 164.23
10:33:55 200.00 198.66 -171.54
10:33:55 200.00 199.74 -147.31
10:33:55 200.00 200.46 -123.08
10:33:55 200.00 200.94 -98.85
10:33:55 200.00 201.27 -74.61
10:33:55 200.00 201.48 -50.77
10:33:55 200.00 200.57 -26.92
10:33:55 200.00 199.96 -2.69
10:33:55 200.00 200.61 21.92
10:33:55 200.00 202.10 46.15
10:33:55 200.00 202.04 70.00
10:33:55 200.00 200.94 93.85
10:33:55 200.00 200.21 117.69
10:33:55 200.00 199.72 141.54
10:33:55 200.00 199.39 165.77
10:33:55 200.00 200.22 -170.38
10:33:55 200.00 199.73 -146.54
10:33:55 200.00 199.39 -122.69
10:33:55 200.00 199.17 -99.23
10:33:55 200.00 197.96 -75.38
10:33:55 200.00 198.21 -51.15
10:33:55 200.00 199.44 -26.92
10:33:55 200.00 200.26 -3.08
10:33:55 200.00 199.75 20.77
10:33:55 200.00 199.41 44.62
10:33:55 200.00 199.18 68.85
10:33:55 200.00 200.09 92.69
10:33:55 200.00 199.63 116.92
10:33:55 200.00 200.39 141.15
10:33:55 200.00 200.90 165.00
10:33:55 200.00 200.18 -171.15
10:33:55 200.00 199.70 -147.31
10:33:55 200.00 199.37 -123.08
10:33:55 200.00 200.21 -98.85
10:33:55 200.00 200.78 -75.00
10:33:55 200.00 200.10 -50.77
10:33:55 200.00 200.70 -26.92
10:33:55 200.00 200.05 -3.08
10:33:55 200.00 199.61 20.77
10:33:55 200.00 199.31 45.00
10:33:55 200.00 200.18 69.23
10:33:55 200.00 200.75 93.08
10:33:55 200.00 200.08 116.92
10:33:55 200.00 199.63 140.77
10:33:55 200.00 199.33 164.62
10:33:55 200.00 199.13 -171.15
10:33:55 200.00 200.05 -146.92
10:33:55 200.00 200.67 -122.69
10:33:55 200.00 201.08 -98.85
10:33:56 200.00 200.30 -75.00
10:33:56 200.00 199.78 -50.77
